VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariation;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;FuelConsumptionAverage;RoadSurface;Traffic;DrivingStyle
7;0;7;38;98;104;1361;14,65;39;15,28;1;1;1
6;0;6;44;95;108;1767;24,92;41;18,08;1;3;1
11;0;2;46;98;110;1013;7,87;40;15,25;1;1;1
7;0;7;22;95;100;953;5,53;33;24,40;1;1;1
7;1;0;27;95;100;1017;5,53;34;24,40;1;1;1
17;1;4;58;95;118;1414;15,53;41;18,35;1;3;1
7;1;0;13;95;100;850;6,01;34;24,49;1;1;1
14;1;3;37;98;104;1181;8,81;38;15,22;1;1;1
6;1;-1;29;95;100;847;4,66;34;24,59;1;1;1
5;1;0;30;95;99;963;4,97;34;24,69;1;1;1
17;1;3;33;97;103;1357;9,80;38;15,20;1;1;1
8;1;2;35;95;103;1410;10,41;36;24,84;1;1;1
11;1;3;30;95;105;1794;10,53;37;24,97;1;1;1
19;1;2;7;97;104;1480;9,59;38;15,18;1;1;1
20;1;0;23;95;106;1368;9,71;38;18,53;1;3;1
25;1;6;52;95;159;2194;35,09;47;22,24;1;1;2
12;1;4;16;96;111;2181;21,83;40;17,05;1;3;1
14;2;-1;8;96;109;1854;13,38;38;17,19;1;3;2
13;2;0;75;95;107;1226;9,90;38;25,12;1;1;1
8;2;2;26;96;107;1970;15,14;39;16,92;1;3;1
6;2;-1;33;96;102;1527;11,88;38;16,82;1;3;1
10;2;-2;19;95;104;850;4,68;37;17,36;1;3;2
6;2;-4;20;95;101;875;5,02;33;17,41;1;3;2
17;2;-2;7;95;104;1246;7,85;38;18,61;1;3;1
12;2;3;31;76;102;1681;13,57;37;20,03;1;3;1
18;2;5;41;95;108;1382;13,31;36;25,10;1;1;1
29;2;4;35;95;165;2196;24,30;47;22,26;1;1;2
7;2;1;48;96;101;1121;10,00;38;16,75;1;3;1
25;2;0;11;96;108;1739;17,77;41;19,12;1;1;2
9;2;0;31;76;101;1451;9,00;36;20,03;1;3;1
6;2;0;37;95;101;1184;9,53;36;17,47;1;3;2
16;2;4;23;76;106;1938;13,81;39;20,03;1;3;1
6;2;0;28;95;102;1553;9,73;37;17,59;1;3;2
7;2;7;50;96;100;1046;8,11;36;16,63;1;3;1
16;2;-2;24;95;101;1188;10,40;36;18,64;1;3;1
15;2;-1;20;76;107;2034;14,53;39;20,06;1;3;1
9;2;1;31;76;100;1265;8,89;36;20,05;1;3;1
22;2;0;32;98;109;1786;14,30;39;16,81;1;1;2
10;2;3;18;95;103;1708;10,45;37;17,62;1;3;2
21;2;3;46;95;110;1576;12,19;37;25,01;1;1;1
19;2;-2;10;97;103;1300;12,31;39;15,21;1;1;1
24;2;-2;15;96;108;1673;11,88;40;19,11;1;1;2
14;2;-1;20;76;109;2102;14,97;38;20,11;1;3;1
27;2;3;37;65;121;2050;19,41;37;24,93;1;1;2
12;2;2;16;95;103;1759;10,82;37;17,67;1;3;2
8;2;-1;25;76;100;1118;7,46;35;20,08;1;3;1
18;3;-1;25;97;103;1279;8,42;38;15,19;1;1;1
23;3;2;38;95;113;1751;14,53;37;24,92;1;1;1
12;3;0;13;95;104;1715;11,13;37;17,68;1;3;2
25;3;3;51;98;127;2058;14,30;39;16,81;1;1;2
16;3;1;21;76;109;2133;15,40;38;20,17;1;3;1
23;3;-1;53;96;106;1692;11,39;38;19,10;1;1;2
9;3;-1;11;76;100;1210;6,93;36;20,12;1;3;1
17;3;-1;49;97;104;1290;8,60;36;15,16;1;1;1
29;3;2;35;65;120;2170;21,57;37;24,92;1;1;2
13;3;-2;9;95;102;929;4,99;37;18,77;1;3;1
16;3;0;16;76;109;2129;15,09;38;20,19;1;3;2
7;3;1;30;96;101;959;10,40;31;21,96;1;3;2
5;3;1;31;96;101;824;6,33;30;21,87;1;3;2
29;3;3;7;74;107;1767,5;22,44;41;24,03;3;3;2
32;3;-1;15;96;103;1323;11,52;42;21,89;1;1;2
9;3;2;22;97;103;1231;8,66;32;22,00;1;3;2
5;3;-1;28;96;101;847;7,84;28;21,81;1;3;2
25;3;2;31;95;115;1883;14,65;37;24,81;1;1;1
11;3;-2;24;95;101;871;4,92;35;18,83;1;3;1
24;3;1;47;96;116;1903;25,21;39;19,16;1;1;2
13;3;-3;9;76;107;1916;13,19;37;20,20;1;3;2
8;3;-2;18;95;102;913;6,28;35;17,69;1;3;2
35;3;0;76;94;110;1453,5;19,63;56;10,77;3;1;2
9;3;1;23;97;102;1372;9,27;30;22,05;1;3;2
31;3;5;64;98;177;2463;33,20;41;16,91;1;1;2
5;3;-3;23;96;104;831;5,05;29;21,74;1;3;2
20;3;3;44;97;112;1455;13,60;37;15,16;1;1;1
6;3;-2;21;95;101;889;5,11;34;17,68;1;3;2
10;3;-1;25;95;100;872;4,71;35;18,84;1;3;1
10;3;0;26;74;101;1411;8,91;37;20,15;1;3;1
5;3;-1;21;95;101;845;4,80;34;17,71;1;3;2
12;3;2;13;97;103;1602;11,45;32;22,09;1;3;2
13;3;0;16;76;105;1860;12,19;37;20,24;1;3;1
7;3;-3;24;95;100;856;4,92;35;18,95;1;3;1
30;3;2;32;65;122;2247;19,56;37;24,89;1;1;2
9;3;-5;34;96;109;1339;10,89;33;21,70;1;3;2
6;3;0;24;95;100;847;4,88;34;17,74;1;3;2
5;3;-2;26;95;100;852;5,17;35;19,07;1;3;1
7;3;7;50;96;102;1032;11,54;31;21,18;1;3;1
