VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariation,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,FuelConsumptionAverage,RoadSurface,Traffic,DrivingStyle
0,0.00,0,50,64,102,793,10.02,35,20.48,3,3,1
0,0.00,0,49,64,102,743,9.16,35,20.48,3,3,1
0,0.00,0,35,64,102,784,9.88,35,20.48,3,3,1
0,0.00,0,35,64,102,784,9.94,34,20.48,3,3,1
0,0.00,0,35,64,102,784,9.83,34,20.48,3,3,1
0,0.00,0,35,64,102,784,9.86,34,20.48,3,3,1
0,0.00,0,34,64,102,786,9.94,35,20.48,3,3,1
0,0.00,0,34,64,102,785,9.97,35,20.48,3,3,1
0,0.00,0,34,64,102,785,9.94,35,20.48,3,3,1
0,0.00,0,34,64,102,784,9.88,35,20.48,3,3,1
0,0.00,0,34,64,102,784,9.77,35,20.48,3,3,1
0,0.00,0,34,64,102,783,9.97,35,20.48,3,3,1
0,0.00,0,34,64,102,786,9.88,34,20.48,3,3,1
0,0.00,0,34,64,102,785,9.88,34,20.48,3,3,1
0,0.00,0,34,64,102,784,9.94,34,20.48,3,3,1
0,0.00,0,34,64,102,785,9.83,35,20.48,3,3,1
0,0.00,0,34,64,102,786,9.80,34,20.48,3,3,1
0,0.00,0,33,64,102,784,9.91,34,20.48,3,3,1
0,0.00,0,29,64,102,789,9.77,35,20.48,3,3,1
0,0.00,0,29,64,102,785,9.99,35,20.48,3,3,1
0,0.00,0,69,97,104,1212,8.28,47,21.71,1,1,1
0,0.00,0,63,71,102,1134,12.41,39,24.80,1,1,1
0,0.00,0,55,83,99,775,5.82,35,20.06,1,2,1
0,0.00,0,54,100,102,1266,13.89,40,16.51,1,1,1
0,0.00,0,54,71,98,1095,11.27,37,24.70,1,1,1
0,0.00,0,42,83,100,858,9.46,37,20.06,1,2,1
0,0.00,0,42,82,99,819,5.14,35,20.06,1,2,1
0,0.00,0,42,82,99,816,5.34,35,20.06,1,2,1
0,0.00,0,42,82,100,815,6.35,35,20.06,1,2,1
0,0.00,0,41,100,100,994,6.81,38,16.44,1,1,1
0,0.00,0,41,82,99,801,4.85,35,20.06,1,2,1
0,0.00,0,40,83,101,830,5.79,37,20.11,1,2,1
0,0.00,0,40,82,99,825,4.83,34,20.06,1,2,1
0,0.00,0,39,100,101,798,7.10,40,15.21,1,1,1
0,0.00,0,39,82,99,799,5.31,35,20.06,1,2,1
0,0.00,0,39,83,99,828,4.90,36,20.06,1,2,1
0,0.00,0,39,83,99,807,5.34,35,20.06,1,2,1
0,0.00,0,39,82,99,805,4.85,35,20.06,1,2,1
0,0.00,0,38,82,99,1170,5.48,35,20.06,1,2,1
0,0.00,0,38,82,100,800,5.33,35,20.06,1,2,1
0,0.00,0,38,83,99,795,4.83,35,20.06,1,2,1
0,0.00,0,37,97,102,1075,7.84,43,21.71,1,1,1
0,0.00,0,37,83,99,809,4.65,35,20.06,1,2,1
0,0.00,0,37,83,99,793,4.68,35,20.06,1,2,1
0,0.00,0,37,82,99,816,4.88,35,20.06,1,2,1
0,0.00,0,37,82,99,809,5.14,35,20.06,1,2,1
0,0.00,0,37,82,99,801,5.12,35,20.06,1,2,1
0,0.00,0,36,83,99,792,4.90,35,20.06,1,2,1
0,0.00,0,36,82,100,821,4.63,35,20.06,1,2,1
0,0.00,0,36,82,99,794,4.92,35,20.06,1,2,1
0,0.00,0,36,97,102,875,7.65,32,22.01,1,1,1
0,0.00,0,35,83,99,800,4.94,35,20.06,1,2,1
0,0.00,0,35,71,99,808,4.94,35,24.70,1,1,1
0,0.00,0,35,71,99,799,4.71,35,24.70,1,1,1
0,0.00,0,35,83,99,807,4.82,35,20.06,1,2,1
0,0.00,0,35,83,99,803,5.29,35,20.06,1,2,1
0,0.00,0,35,82,99,825,5.34,36,20.06,1,2,1
0,0.00,0,35,82,100,801,4.42,35,20.06,1,2,1
0,0.00,0,35,82,99,797,4.53,35,20.06,1,2,1
0,0.00,0,35,71,99,801,5.02,35,24.70,1,1,1
0,0.00,0,35,71,99,799,5.36,35,24.70,1,1,1
0,0.00,0,35,71,99,797,5.05,35,24.70,1,1,1
0,0.00,0,35,83,99,802,5.16,35,20.06,1,2,1
0,0.00,0,35,83,99,800,5.05,35,20.06,1,2,1
0,0.00,0,35,71,99,819,4.71,35,24.70,1,1,1
0,0.00,0,35,71,99,811,4.73,35,24.70,1,1,1
0,0.00,0,34,83,99,800,4.75,35,20.06,1,2,1
0,0.00,0,34,82,99,809,4.88,35,20.06,1,2,1
0,0.00,0,34,82,99,799,5.04,35,20.06,1,2,1
0,0.00,0,34,82,99,776,5.09,34,20.06,1,2,1
0,0.00,0,33,98,100,878,5.00,39,19.06,1,3,1
0,0.00,0,33,82,99,804,4.76,35,20.06,1,2,1
0,0.00,0,33,82,99,859,4.90,35,20.06,1,2,1
0,0.00,0,33,82,99,800,5.00,35,20.06,1,2,1
0,0.00,0,32,97,107,1646,13.04,46,21.91,1,1,1
0,0.00,0,32,82,101,860,12.21,37,20.06,1,2,1
0,0.00,0,31,83,99,876,4.61,35,20.06,1,2,1
0,0.00,0,31,100,102,992,9.90,40,15.25,1,1,1
0,0.00,0,31,97,100,794,4.56,43,21.71,1,1,1
0,0.00,0,31,82,99,813,5.65,35,20.06,1,2,1
0,0.00,0,30,97,100,797,4.71,43,21.71,1,1,1
0,0.00,0,29,97,100,800,4.56,43,21.71,1,1,1
0,0.00,0,29,97,100,797,4.56,43,21.71,1,1,1
0,0.00,0,29,100,100,794,7.51,38,15.21,1,1,1
0,0.00,0,28,100,100,789,4.34,37,16.44,1,1,1
0,0.00,0,28,82,99,824,5.09,37,20.06,1,2,1
0,0.00,0,27,82,100,808,4.94,35,20.06,1,2,1
0,0.00,0,27,100,100,806,7.31,39,15.21,1,1,1
0,0.00,0,27,100,100,808,4.70,37,16.44,1,1,1
0,0.00,0,27,100,100,803,4.54,37,15.21,1,1,1
0,0.00,0,26,100,100,802,4.63,37,15.21,1,1,1
0,0.00,0,26,100,100,800,4.68,37,16.44,1,1,1
0,0.00,0,26,100,100,799,4.82,37,15.21,1,1,1
0,0.00,0,25,100,100,803,4.59,38,15.21,1,1,1
0,0.00,0,25,100,100,804,4.80,37,16.44,1,1,1
0,0.00,0,25,100,100,793,4.59,37,16.44,1,1,1
0,0.00,0,25,100,100,796,4.66,37,15.21,1,1,1
0,0.00,0,25,98,100,861,5.07,38,19.04,1,3,1
0,0.00,0,24,82,99,783,4.68,35,20.06,1,2,1
0,0.00,0,24,98,100,897,5.36,40,19.08,1,3,1
0,0.00,0,17,100,100,910,8.40,38,16.47,1,1,1
0,0.00,0,72,96,102,751,7.69,56,13.66,2,3,1
0,0.00,0,64,96,102,664,7.41,56,13.68,2,3,1
0,0.00,0,53,80,102,768,9.24,40,23.33,2,3,1
0,0.00,0,40,79,102,739,8.86,39,23.33,2,3,1
0,0.00,0,38,80,102,695,8.69,40,23.31,2,3,1
0,0.00,0,33,79,102,769,9.47,39,23.33,2,3,1
0,0.00,0,33,79,102,773,9.38,39,23.33,2,3,1
0,0.00,0,33,79,102,772,9.41,39,23.33,2,3,1
0,0.00,0,33,79,102,772,9.33,39,23.33,2,3,1
0,0.00,0,33,79,102,772,9.36,39,23.33,2,3,1
0,0.00,0,33,79,102,770,9.44,39,23.33,2,3,1
0,0.00,0,33,79,102,770,9.41,39,23.33,2,3,1
0,0.00,0,33,79,102,769,9.38,39,23.33,2,3,1
0,0.00,0,33,79,102,769,9.47,39,23.33,2,3,1
0,0.00,0,33,79,102,767,9.38,39,23.33,2,3,1
0,0.00,0,32,79,102,770,9.38,40,23.33,2,3,1
0,0.00,0,32,79,102,769,9.41,40,23.33,2,3,1
0,0.00,0,32,79,102,767,9.44,40,23.33,2,3,1
0,0.00,0,32,79,102,767,9.33,40,23.33,2,3,1
0,0.00,0,32,79,102,773,9.36,39,23.33,2,3,1
0,0.00,0,32,79,102,772,9.27,39,23.33,2,3,1
0,0.00,0,32,79,102,771,9.38,39,23.33,2,3,1
0,0.00,0,32,79,102,771,9.38,39,23.33,2,3,1
