EngineCoolantTemperature;EngineLoad;RPM;IntakeManifoldPressure;MassAirFlow;IntakeAirTemperature;Speed;ShortTermFuelTrimBank1;ThrottlePosition;TimingAdvance
82;79,2;2124;61;24,77;36;48;-0,016;34,9;0,667
83;78,4;2617;44;30,96;36;60;-0,047;36,1;0,682
83;42;3005;44;18,58;36;64;-0,102;32,2;0,757
82;37,3;3156;63;18,38;36;65;0;32,5;0,753
82;76,1;1798;47;19,77;36;67;0,031;33,3;0,663
83;37,6;1818;32;9,99;36;65;0,047;28,6;0,725
83;32,2;1765;35;8,33;37;63;0,016;27,1;0,741
83;49,4;1721;43;12,56;36;63;-0,008;30,2;0,714
82;42,7;1716;34;10,69;37;63;-0,008;29;0,718
82;39,2;1759;33;9,78;37;67;0,039;28,6;0,725
82;38;1859;31;10,49;36;68;0,039;28,6;0,729
82;34,5;1867;31;9,47;36;67;0,031;28,2;0,737
82;32,5;1801;19;8,58;37;63;-0,047;27,1;0,741
83;30,6;1692;19;8,84;37;51;0,016;27,5;0,745
83;22,7;959;51;4,03;37;22;-0,008;20,4;0,608
83;87,1;775;76;5,07;36;30;0,031;20,4;0,596
82;100;2871;70;48,21;35;43;0;42;0,659
82;79,6;2223;48;25,04;35;50;-0,039;34,9;0,675
82;56,5;2512;40;20,41;35;52;-0,07;33,3;0,718
82;27,8;2555;37;12,31;35;51;-0,016;29,8;0,792
83;46,3;2529;21;17,78;35;37;-0,109;32,9;0,737
83;24,7;1668;70;11,31;35;40;0,047;31;0,631
83;87,8;1998;74;26,51;35;44;0,008;35,7;0,663
82;92,9;2189;74;30,43;34;46;-0,086;36,9;0,663
82;92,2;2329;73;31,57;34;49;-0,086;36,9;0,671
82;80;2419;19;24,71;34;41;-0,102;34,5;0,675
83;62,7;1963;50;17,88;34;45;0,039;32,5;0,69
83;36,9;2341;24;11,71;34;51;-0,023;29,8;0,729
83;32,2;2565;18;12,5;35;55;0,039;30,2;0,773
82;17,6;2680;18;7,1;35;50;0;25,9;0,647
82;18;2494;18;6,69;35;45;0;25,5;0,643
82;18,8;2073;18;5,81;35;30;0;23,9;0,635
83;18,4;1187;28;3,23;36;17;0,117;18,8;0,612
83;63,1;893;66;9,22;35;23;0,062;27,8;0,627
83;67,5;930;78;8,37;35;27;-0,008;29;0,541
83;78;967;78;10,6;35;32;-0,008;29,4;0,553
83;85,9;1126;68;13,77;34;39;-0,039;31,4;0,588
83;77,3;1354;47;15,36;34;44;-0,062;31,8;0,631
83;45,1;1479;43;9,2;34;46;-0,023;27,5;0,698
82;53,3;1572;36;12,38;35;50;-0,047;30,2;0,686
82;41,2;1701;20;10,04;35;50;0,039;28,6;0,722
82;17,6;1660;51;4,41;35;50;0,016;22;0,631
82;81,2;1697;50;20,01;34;51;0,031;33,3;0,659
82;54,1;1692;19;13,39;34;49;-0,023;30,6;0,69
82;18,4;1526;20;4,04;35;30;0,031;21,6;0,627
83;39,2;853;45;4,16;35;19;-0,078;20,4;0,655
83;98;1051;59;14,84;34;29;0,039;32,9;0,545
83;63,9;1527;35;14,12;34;34;-0,07;31;0,671
